스킬ID,스킬,Target Scope,Target Tags
32368,"[얼리버드] 싸움 없는 결혼 준비, 올인원 노션 템플릿","LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
32529,2024년 솔로 탈출 보고서,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR, OVERALL"
23894,[연말할인] 2023년에 솔로 탈출할 수 있을까?,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
22956,2023년 나에게 찾아올 12가지 행운,ALL,NEW_YEAR
20183,내 운명의 상대(추천 할인),"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
38596,"설레는 2024년 봄, 나에게 찾아올 3가지 변화",ALL,NEW_YEAR
18964,이번 달에 애인 생길까?,LOVE_SINGLE,LOVE_NEW
22564,심층 궁합: 그 사람과 사귀면 어떨까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
21073,(추천할인) 타고난 부: 내 사주로 평생 모을 재산은?,"LOVE_SINGLE, LOVE_COUPLE",WEALTH
18647,둘 중 누가 더 좋아할까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
22790,(추천할인) 일생 풀이: 천운과 타고난 복(福),ALL,
2422,특정 날짜 내 사주 운세,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
20908,[타고난 궁합 사용자 전용] 그 사람과 나의 사주궁합,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
19217,나는 어떤 사람과 결혼하게 될까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
56516,[창광] 26년 병오년 직업운과 합격운,ALL,"CAREER, NEW_YEAR"
21140,(추천할인) 솔로 탈출 가능할까?,LOVE_SINGLE,LOVE_NEW
19010,👀후방주의: 스킨십 궁합 패키지,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
25330,[2인 할인] 2023년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
16379,썸 어떻게 될까?,LOVE_SINGLE,LOVE_NEW
2428,사주로 보는 전생과 현생,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
29757,그 사람 미리보기,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
20314,(추천할인) 그 사람과 나의 속궁합,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
24408,내 아이는 출세할 사주일까? (연속구매 할인),"LOVE_SINGLE, LOVE_COUPLE",FAMILY
40180,결혼 시뮬레이션 : 우리 2세 미리보기,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
24176,그 사람과 내가 결혼할 확률은?,"LOVE_SINGLE, LOVE_COUPLE","LOVE_MARRIAGE, LOVE_MATCH"
22063,(추천할인) 내 사주에 연애 상대 몇 명 있을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
